#支付宝账务汇总查询
#账号：[20884312085699850156]
#起始日期：[2024年04月29日 00:00:00]   终止日期：[2024年04月30日 00:00:00]
#-----------------------------------------账务汇总列表----------------------------------------
类型,收入笔数,收入金额（+元）,支出笔数,支出金额（-元）,总金额（元）
提现	,0	,0.00	,1	,-10776.72	,-10776.72	
转账	,18	,10052.09	,31	,-548.63	,9503.46	
分账	,0	,0.00	,5	,-30.84	,-30.84	
其它	,1	,1.50	,18	,-19.80	,-18.30	
收费	,0	,0.00	,12	,-29.20	,-29.20	
合计	,19	,10053.59	,67	,-11405.19	,-1351.60	
#----------------------------------------账务汇总列表结束-------------------------------------
#导出时间：[2024年04月30日 06:34:05]
