#支付宝账务汇总查询
#账号：[20884312085699850156]
#起始日期：[2024年04月26日 00:00:00]   终止日期：[2024年04月27日 00:00:00]
#-----------------------------------------账务汇总列表----------------------------------------
类型,收入笔数,收入金额（+元）,支出笔数,支出金额（-元）,总金额（元）
分账	,0	,0.00	,1	,-8.60	,-8.60	
提现	,0	,0.00	,1	,-11711.99	,-11711.99	
转账	,13	,7605.83	,23	,-416.64	,7189.19	
其它	,0	,0.00	,32	,-58.00	,-58.00	
收费	,0	,0.00	,7	,-31.85	,-31.85	
合计	,13	,7605.83	,64	,-12227.08	,-4621.25	
#----------------------------------------账务汇总列表结束-------------------------------------
#导出时间：[2024年04月27日 06:34:10]
